	code	pos	r_ct	w_ct	z
0	B	cc	359.0	253.0	0.000791068517892
1	B	cd	45.0	34.0	0.000207423760183
2	B	dt	1364.0	1376.0	-6.60417030509e-05
3	B	ex	14.0	8.0	0.000192944517075
4	B	in	1023.0	1071.0	-0.000339698979303
5	B	jj	901.0	686.0	0.00091710383567
6	B	jjr	46.0	33.0	0.00020698068987
7	B	jjs	26.0	25.0	0.000117442407065
8	B	md	77.0	61.0	0.000233345890052
9	B	nn	2164.0	2299.0	-0.000536526771022
10	B	nnp	1039.0	1199.0	-0.000823360233358
11	B	nnps	4.0	3.0	0.000111332625529
12	B	nns	504.0	491.0	-8.76895481858e-05
13	B	pdt	14.0	19.0	-0.000177458525693
14	B	prp	1178.0	1029.0	0.000658155178128
15	B	rb	747.0	813.0	-0.000533746924526
16	B	rbr	48.0	28.0	0.000383826764396
17	B	rp	129.0	114.0	0.00014402961915
18	B	to	497.0	518.0	-0.000280118153737
19	R	uh	2.0	0.0	
20	B	vb	523.0	531.0	-0.000227672599659
21	B	vbd	2160.0	2041.0	0.000421708346756
22	B	vbg	219.0	213.0	-9.96364934661e-05
23	B	vbn	312.0	249.0	0.000835486967421
24	B	vbp	101.0	145.0	-0.000520798282331
25	B	vbz	103.0	126.0	-0.000390877832053
26	B	wdt	11.0	8.0	0.000112609625462
27	B	wp	25.0	26.0	-5.40697724458e-05
28	B	wrb	58.0	46.0	0.000171423371018
29	B	ccdt	14.0	9.0	0.000180902191053
30	R	ccin	3.0	0.0	
31	B	ccjj	15.0	13.0	5.7936968346e-05
32	R	ccjjr	2.0	0.0	
33	B	ccnn	36.0	29.0	0.00014629246713
34	B	ccnnp	24.0	23.0	-5.48049255399e-05
35	B	ccnns	10.0	11.0	-7.99210193789e-05
36	B	ccprp	44.0	11.0	0.000796742122941
37	B	ccrb	18.0	12.0	0.000131715625432
38	B	ccvb	18.0	17.0	3.12164547896e-05
39	B	ccvbd	157.0	111.0	0.000673452851391
40	B	ccvbg	4.0	2.0	0.000158616338205
41	B	ccvbn	7.0	5.0	0.000187093559039
42	B	ccvbp	1.0	1.0	-4.12371362449e-05
43	B	ccvbz	6.0	2.0	0.000285433779294
44	R	cdcd	1.0	0.0	
45	B	cddt	1.0	1.0	-6.90026964913e-05
46	B	cdin	4.0	6.0	-0.000146821273443
47	B	cdjj	2.0	1.0	2.98781242341e-06
48	B	cdjjr	1.0	1.0	-9.75849838886e-05
49	B	cdnn	7.0	8.0	1.80673909103e-05
50	B	cdnns	25.0	13.0	0.000331369788842
51	R	cdvbd	1.0	0.0	
52	R	cdwdt	1.0	0.0	
53	B	dtcd	5.0	7.0	-0.00021959108761
54	B	dtdt	2.0	2.0	-9.60773169374e-05
55	B	dtin	15.0	21.0	-0.000152852996561
56	B	dtjj	275.0	199.0	0.000746374331747
57	B	dtjjr	9.0	8.0	0.000125391814684
58	B	dtjjs	17.0	17.0	6.81205774755e-05
59	B	dtnn	873.0	923.0	-0.000271183855304
60	B	dtnnp	16.0	16.0	-0.000157173160735
61	B	dtnnps	3.0	1.0	0.000271775863249
62	B	dtnns	98.0	126.0	-0.000287955523981
63	B	dtprp	2.0	3.0	-3.87520085071e-05
64	B	dtrb	10.0	10.0	-1.19919101542e-05
65	B	dtrbr	1.0	1.0	0.0
66	R	dtrp	1.0	0.0	
67	B	dtvb	1.0	1.0	2.28743021502e-05
68	B	dtvbd	20.0	13.0	0.000189677515484
69	B	dtvbg	6.0	4.0	0.000161611874487
70	B	dtvbn	4.0	2.0	8.76567147843e-05
71	B	dtvbp	1.0	2.0	-0.000127775565813
72	R	dtwp	1.0	0.0	
73	R	excc	1.0	0.0	
74	B	exprp	3.0	1.0	0.000133189070509
75	B	exvbd	6.0	3.0	0.000245683999151
76	B	incc	8.0	6.0	0.00020345766513
77	B	incd	17.0	4.0	0.000628991046745
78	B	indt	339.0	380.0	-0.00042576000942
79	B	inex	2.0	3.0	-0.000121638374426
80	B	inin	21.0	24.0	-5.88185288789e-05
81	B	injj	45.0	31.0	0.000361120344509
82	B	injjr	1.0	1.0	2.81700760342e-05
83	B	injjs	3.0	5.0	-0.000120342424106
84	B	innn	223.0	238.0	-0.000205512277349
85	B	innnp	41.0	43.0	-8.64245782927e-05
86	B	innns	66.0	64.0	-8.27470913844e-05
87	B	inpdt	2.0	1.0	0.000114565487755
88	B	inprp	151.0	135.0	0.000185278317226
89	B	inrb	7.0	17.0	-0.000436392809778
90	B	into	7.0	11.0	-0.000189037913161
91	B	invb	2.0	1.0	0.000103791068369
92	B	invbg	53.0	57.0	-0.000142078858445
93	R	invbn	1.0	0.0	
94	B	inwp	5.0	12.0	-0.000410292682251
95	B	inwrb	4.0	5.0	-4.06858844503e-05
96	B	jjcc	40.0	15.0	0.000648413950037
97	B	jjcd	2.0	4.0	-6.34381154094e-05
98	B	jjdt	13.0	15.0	-0.000114053785165
99	B	jjin	124.0	114.0	1.76315421934e-05
100	B	jjjj	26.0	7.0	0.000691558677881
101	B	jjnn	337.0	253.0	0.000737065844962
